Town,Service Name,Description
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Animal Kingdom,"My name is Lauren Archer, I am qualified in Animal Management and canine Behaviour. Offering lovely country walks and doggy day care. Can provide pick up and drop off services too"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Animal Kingdom,"Qualified in animal management and canine behaviour, worked with animals all my life I’m nearly 23, I compete in dog agility and I’m a qualified trainer. Horse riding is another passion"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Greenside Pet Care,"Welcome to Greenside Pet Care! Are you or someone you know looking for a loving, reliable dog walking service, pet sitters or bespoke pet boarding?? Greenside Pet Care offers flexible, friendly and professional animal services, specifically tailored to you and your pets. We are a brand new company based in Matfield (TN12) and care for …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Laughing Dogs,Your dog will be part of the family for the time of his/her stay. 2 walks per day in the lovely Kent and East Sussex countryside. Your dog will benefit from socialising with other well behaved and friendly dogs. Competitive rates and hours. I live in a comfortable home that has a large secure garden …
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Pawsforthought,"Dog walking; solo walks and group walks offered Dog Sitting; house sitting and other pets Dog Behaviourial training;  Do you need help with your four legged friend ? Does it display behavioural issues such as not walking correctly on the lead, ignoring recall, jumping up, hyperactivity, even destroying your property ?. Based in Tunbridge …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Pawsforthought,"Dog walking; solo walks and group walks offered Dog Sitting; house sitting and other pets Dog Behaviourial training; – Do you need help with your “four legged friend” ? Does it display behavioural issues such as not walking correctly on the lead, ignoring recall, jumping up, hyperactivity, even destroying your property ?. Based in Tunbridge …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Wet Nose Wagging Tail,"A professional dog walking, day care and boarding service in Tunbridge Wells with the personal touch."
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Companion Care for Tunbridge Wells,Your local pet carer ?Serving Tunbridge Wells and surrounding areas – Doggy Daycare – Dog Walking – Pet Sitting – Home Boarding – Pet Feeding – Home Visits
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Andys Weekend Dog Walks,"From a young age I was fortunate enough to be surrounded by animals. My home and friends were surrounded with dogs, cats and hamsters. Some of which we took in from the cold after being dumped. As I grew up my love of dogs continued and with currently working in London during the week I …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Hold My Paw,"We are dedicated to caring for your pet. Our services include dog boarding and dog day care and small animal boarding. We operate within Tunbridge Wells, Tonbridge and the surrounding areas. We are happy to look after all pets including rabbits, guinea pigs, hamsters, gerbils, mice and rats, birds and reptiles. We have over 15 …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Cece,"I am a housewife so home pretty much 24/7. I started caring for dogs as company whilst my husband was at work, we live near beautiful parks and woodlands perfect for lovely walks! I have experience with small-large breeds including Bulldogs, Labradors and Retrievers. Please get in touch if you would like more information about …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Bow Wow Walkies,"Bow Wow Walkies is operated by Chris Linford and offers a wide range of pet services in West Kent area. These include: dog walking, pet taxi, pet sitting, holiday animal feeding and puppy play, plus specialist services for elderly dogs or secluded walks for dogs in season. I am based in Tonbridge and I offer …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Leadon,"Professional, reliable, experienced and fully insured for dog walking, home boarding, doggy daycare and home visits. Walks are an hour long, in woodland, open spaces and local parks. If you need a holiday, work or just need your dog to have time socialising and having fun with some doggy pals, id love to hear from …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Dog On Vacation,"Going on holiday? A weekend away? Family party? Don’t like the idea of putting your dog in kennels? Then we have the answer. We will dog sit your dog in our own home, giving your dog the comfort and companionship they enjoy in their own house. Your dog will live with us as part of …"
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Laughing Dogs,I have been established since 2005 in Tunbridge Wells – close to Hurst Wood in a quiet area with a big enclosed garden. Our walk into the woods takes 1 minute (or 2) . We love dogs and take only a limited number to make sure every dog gets the best care possible.
"Sussex > Crowborough, Lewes, Tunbridge Wells, Uckfield",Oh My Dog,"Oh My Dog is a dog walking service around Southborough, Tonbridge and Tunbridge Wells. We work seven days a week and are available at times that suit you and your pet. At Oh My Dog our number one priority will always be your dogs wellbeing. We will do whatever it takes to ensure that your …"
